gobierno,presidente,ano,indicador,valor,unidad,fuente,nota
Samper 1994-1998,Ernesto Samper,1994,Cobertura neta primaria,85,%,MEN Anuario Estadístico,
Samper 1994-1998,Ernesto Samper,1995,Cobertura neta primaria,86,%,MEN Anuario Estadístico,
Samper 1994-1998,Ernesto Samper,1996,Cobertura neta primaria,87,%,MEN Anuario Estadístico,
Samper 1994-1998,Ernesto Samper,1997,Cobertura neta primaria,87.5,%,MEN Anuario Estadístico,
Samper 1994-1998,Ernesto Samper,1998,Cobertura neta primaria,88,%,MEN Anuario Estadístico,
Samper 1994-1998,Ernesto Samper,1994,Tasa analfabetismo,12.5,%,DANE,Mayores de 15 años
Samper 1994-1998,Ernesto Samper,1996,Tasa analfabetismo,11.5,%,DANE,
Samper 1994-1998,Ernesto Samper,1998,Tasa analfabetismo,10.8,%,DANE,
Samper 1994-1998,Ernesto Samper,1994,Inversión educación % PIB,4.2,%,Banco Mundial,
Samper 1994-1998,Ernesto Samper,1996,Inversión educación % PIB,4.3,%,Banco Mundial,
Samper 1994-1998,Ernesto Samper,1998,Inversión educación % PIB,4.5,%,Banco Mundial,
Pastrana 1998-2002,Andrés Pastrana,1998,Cobertura neta primaria,88,%,MEN Anuario Estadístico,
Pastrana 1998-2002,Andrés Pastrana,2000,Cobertura neta primaria,89.5,%,MEN Anuario Estadístico,
Pastrana 1998-2002,Andrés Pastrana,2002,Cobertura neta primaria,91,%,MEN Anuario Estadístico,
Pastrana 1998-2002,Andrés Pastrana,1998,Tasa analfabetismo,10.8,%,DANE,
Pastrana 1998-2002,Andrés Pastrana,2000,Tasa analfabetismo,10.0,%,DANE,
Pastrana 1998-2002,Andrés Pastrana,2002,Tasa analfabetismo,9.5,%,DANE,
Pastrana 1998-2002,Andrés Pastrana,1998,Inversión educación % PIB,4.5,%,Banco Mundial,
Pastrana 1998-2002,Andrés Pastrana,2000,Inversión educación % PIB,4.6,%,Banco Mundial,
Pastrana 1998-2002,Andrés Pastrana,2002,Inversión educación % PIB,4.8,%,Banco Mundial,
Uribe I 2002-2006,Álvaro Uribe,2002,Cobertura neta primaria,91,%,MEN Anuario Estadístico,
Uribe I 2002-2006,Álvaro Uribe,2004,Cobertura neta primaria,92.5,%,MEN Anuario Estadístico,
Uribe I 2002-2006,Álvaro Uribe,2006,Cobertura neta primaria,94,%,MEN Anuario Estadístico,
Uribe I 2002-2006,Álvaro Uribe,2002,Cobertura neta secundaria,58,%,MEN Anuario Estadístico,
Uribe I 2002-2006,Álvaro Uribe,2004,Cobertura neta secundaria,61.5,%,MEN Anuario Estadístico,
Uribe I 2002-2006,Álvaro Uribe,2006,Cobertura neta secundaria,65,%,MEN Anuario Estadístico,
Uribe I 2002-2006,Álvaro Uribe,2002,Tasa analfabetismo,9.5,%,DANE,
Uribe I 2002-2006,Álvaro Uribe,2004,Tasa analfabetismo,8.8,%,DANE,
Uribe I 2002-2006,Álvaro Uribe,2006,Tasa analfabetismo,8.2,%,DANE,
Uribe I 2002-2006,Álvaro Uribe,2002,Cobertura educación superior,26,%,MEN,Mayores de 17 años
Uribe I 2002-2006,Álvaro Uribe,2004,Cobertura educación superior,29,%,MEN,
Uribe I 2002-2006,Álvaro Uribe,2006,Cobertura educación superior,32,%,MEN,
Uribe I 2002-2006,Álvaro Uribe,2002,Inversión educación % PIB,4.8,%,Banco Mundial,
Uribe I 2002-2006,Álvaro Uribe,2004,Inversión educación % PIB,5.0,%,Banco Mundial,
Uribe I 2002-2006,Álvaro Uribe,2006,Inversión educación % PIB,5.2,%,Banco Mundial,
Uribe I 2002-2006,Álvaro Uribe,2002,Deserción intra-anual,7.5,%,MEN,
Uribe I 2002-2006,Álvaro Uribe,2004,Deserción intra-anual,6.8,%,MEN,
Uribe I 2002-2006,Álvaro Uribe,2006,Deserción intra-anual,6.0,%,MEN,
Uribe I 2002-2006,Álvaro Uribe,2002,Pruebas Saber 11 puntaje promedio,245,puntos,ICFES,Escala 0-500
Uribe I 2002-2006,Álvaro Uribe,2004,Pruebas Saber 11 puntaje promedio,248,puntos,ICFES,
Uribe I 2002-2006,Álvaro Uribe,2006,Pruebas Saber 11 puntaje promedio,252,puntos,ICFES,
Uribe I 2002-2006,Álvaro Uribe,2006,Pruebas PISA matemáticas,370,puntos,OCDE,Primera participación Colombia
Uribe I 2002-2006,Álvaro Uribe,2006,Pruebas PISA lectura,385,puntos,OCDE,
