gobierno,presidente,inicio,fin,indicador,valor_inicio,valor_fin,unidad,fuente,nota
1,Ernesto Samper,1994-08-07,1998-08-07,Recaudo_tributario_total_PIB,11.36,10.69,% PIB,DIAN-Cuadro 1.3 'Tributacion y Competitividad' 2005 (recaudo nacional % PIB),"Recaudo total = renta + IVA + timbre + GMF + patrimonio + actividad externa. 1998=inicio de Pastrana (Samper termina 1998); dato cierre = 1997 (ultimo ano Samper) por disponibilidad de la serie DIAN 1994-2004."
1,Ernesto Samper,1994-08-07,1998-08-07,Recaudo_renta_PIB,4.16,4.50,% PIB,DIAN-Cuadro 1.3 'Tributacion y Competitividad' 2005,"Serie actividad interna 1994-2004. 1994=4,16%; 1997=4,50%."
1,Ernesto Samper,1994-08-07,1998-08-07,Recaudo_IVA_PIB,2.67,3.30,% PIB,DIAN-Cuadro 1.3 'Tributacion y Competitividad' 2005,"IVA nacional 1994=2,67%; 1997=3,30%."
1,Ernesto Samper,1994-08-07,1998-08-07,Recaudo_GMF_PIB,0.00,0.19,% PIB,DIAN-Cuadro 1.3 (GMF introducido en 1999 por Ley 633/2000),"GMF 4xmil creado por Ley 633 de 2000 (Pastrana); en 1994-1998 el dato GMF es 0 o residual; el 0,19% es 1998 (ano de transicion)."
1,Ernesto Samper,1994-08-07,1998-08-07,Recaudo_tributario_cop_billones,8.7,23.3,COP billones corrientes,Calculo propio: % PIB x PIB nominal DANE base 2015,"PIB nominal 1994=COP 76,3 bn; 1997=COP 217,6 bn (DANE retropolacion 2015). Recaudo estimado 1994 ~ 8,7 bn; 1997 ~ 23,3 bn."
1,Ernesto Samper,1994-08-07,1998-08-07,Balance_primario_GNC_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia no publica serie 1994-1998,"Serie consistente inicia en 2000 con CGR/MFMP; 1994-1998 sin serie oficial GNC comparable."
1,Ernesto Samper,1994-08-07,1998-08-07,Balance_total_GNC_PIB,sin dato publico,-3.38,% PIB,Banco Mundial API netlending Central Govt 1998 (proxy),"BM net lending 1998=-3,38% PIB (proxy cercano a GNC). 1994-1997 sin dato BM."
1,Ernesto Samper,1994-08-07,1998-08-07,Deuda_publica_total_PIB,11.4,22.0,% PIB,Minhaciencia Balance GNC + CGR Cuadro 2-2 (deuda SPNF),"Saldo GNC cierre 1994=11,4% PIB; 1997 (ultimo Samper)=22,0% PIB. SPNF 1994=11,4% / 1998=33,7% PIB (CGR Cuadro 2-2). Crisis 1998-99 causa salto a 33% en Pastrana."
1,Ernesto Samper,1994-08-07,1998-08-07,Deuda_interna_PIB,sin dato publico,sin dato publico,% PIB,CGR Cuadro 2-2 inicia serie desagregada en 2010,"Pre-2010 dato no publicado en formato GNC/SPNF comparable."
1,Ernesto Samper,1994-08-07,1998-08-07,Deuda_externa_PIB,sin dato publico,sin dato publico,% PIB,CGR Cuadro 2-2 inicia 2010,"Pre-2010 no comparable en serie unificada."
1,Ernesto Samper,1994-08-07,1998-08-07,Servicio_deuda_intereses_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie 1994-1999,"Solo a partir de 2000 con estandar CGR/MFMP."
1,Ernesto Samper,1994-08-07,1998-08-07,Inversion_publica_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia/DANE sin serie comparable,"Inversion publica del GNC como porcentaje del PIB no se publicaba como serie consistente en 1994-1998."
1,Ernesto Samper,1994-08-07,1998-08-07,Gasto_personal_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie historica,"Serie estandar Minhaciencia solo a partir de 2000-2002."
1,Ernesto Samper,1994-08-07,1998-08-07,Gasto_pensiones_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie historica,"Pensiones Ley 100/1993 con pago via Colpensiones solo tiene serie consistente post-2010."
1,Ernesto Samper,1994-08-07,1998-08-07,SGP_transferencias_PIB,sin dato publico,sin dato publico,% PIB,DNP sin serie comparable 1994-2001,"Ley 60/1993 creo transferencias, pero reporte estandar del SGP inicia con Ley 715/2001."
1,Ernesto Samper,1994-08-07,1998-08-07,Regalias_ingresos_PIB,sin dato publico,sin dato publico,% PIB,DNP sin serie estandar pre-2012,"Pre-Ley 1530/2012 regimen anterior sin series comparables."
2,Andres Pastrana,1998-08-07,2002-08-07,Recaudo_tributario_total_PIB,10.69,13.47,% PIB,DIAN-Cuadro 1.3 'Tributacion y Competitividad' 2005,"1998 a 2001. Incluye patrimonio (Seguridad Democratica) y actividad externa. Ley 633/2000 introdujo GMF; Ley 863/2003 se aprueba en ano final Pastrana."
2,Andres Pastrana,1998-08-07,2002-08-07,Recaudo_renta_PIB,4.50,5.31,% PIB,DIAN-Cuadro 1.3,"Renta 1998=4,50%; 2001=5,44%; 2002=5,31% (inicio Uribe)."
2,Andres Pastrana,1998-08-07,2002-08-07,Recaudo_IVA_PIB,3.30,3.89,% PIB,DIAN-Cuadro 1.3,"IVA 1998=3,21%; 2001=3,88%; 2002=3,89%."
2,Andres Pastrana,1998-08-07,2002-08-07,Recaudo_GMF_PIB,0.19,0.69,% PIB,DIAN-Cuadro 1.3 + Minhaciencia 2001-2002,"GMF 4xmil introducido Ley 633/2000 con rec. desde 1999; cae a 3xmil en 2002 (Decreto 1838)."
2,Andres Pastrana,1998-08-07,2002-08-07,Recaudo_tributario_cop_billones,26.1,46.7,COP billones corrientes,Calculo: % PIB x PIB DANE base 2015,"PIB nominal 1998=COP 244,7 bn; 2001=COP 354,4 bn (DANE). Recaudo 1998 ~ 26,1 bn; 2001 ~ 46,7 bn."
2,Andres Pastrana,1998-08-07,2002-08-07,Balance_primario_GNC_PIB,sin dato publico,sin dato publico,% PIB,Sin serie oficial Minhaciencia consolidada pre-2002,"Proxy BM net lending GNC 2000=-3,12% PIB (sobre la serie BM 'central govt')."
2,Andres Pastrana,1998-08-07,2002-08-07,Balance_total_GNC_PIB,-3.38,sin dato publico,% PIB,BM Central Govt netlending 1998-2000,"1998=-3,38; 2000=-3,12; 2001 no disp en BM."
2,Andres Pastrana,1998-08-07,2002-08-07,Deuda_publica_total_PIB,22.0,47.3,% PIB,CGR Cuadro 2-2 deuda SPNF 2010-2024 + BM Central Govt 1998-2000,"Saldo SPNF 1998=33,7% PIB; 2000=47,3% (CGR). El BM reporta GNC 1998=5,4% (cifra inicial con metodologia BM). Crisis 1998-99 (crack 8%/1998 + rescate bancario via Fogafin) eleva deuda/PIB."
2,Andres Pastrana,1998-08-07,2002-08-07,Deuda_interna_PIB,sin dato publico,sin dato publico,% PIB,CGR Cuadro 2-2 inicia 2010,"Pre-2010 dato desagregado no esta en serie estandar."
2,Andres Pastrana,1998-08-07,2002-08-07,Deuda_externa_PIB,sin dato publico,sin dato publico,% PIB,CGR Cuadro 2-2 inicia 2010,"Pre-2010 dato desagregado no estandar."
2,Andres Pastrana,1998-08-07,2002-08-07,Servicio_deuda_intereses_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie comparable,"Inicia serie comparable 2002 en adelante con Ley 819/2003."
2,Andres Pastrana,1998-08-07,2002-08-07,Inversion_publica_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie comparable,"Plan Nacional Desarrollo 1998-2002 'Cambio para construir la paz' sin serie de inversion."
2,Andres Pastrana,1998-08-07,2002-08-07,Gasto_personal_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie historica 1998-2001.
2,Andres Pastrana,1998-08-07,2002-08-07,Gasto_pensiones_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie estandar,"Solo a partir de 2008 con la CRECE (Comision del Gasto)."
2,Andres Pastrana,1998-08-07,2002-08-07,SGP_transferencias_PIB,sin dato publico,sin dato publico,% PIB,Pre-Ley 715/2001,"Regimen Ley 60/1993 sin reporte estandar."
2,Andres Pastrana,1998-08-07,2002-08-07,Regalias_ingresos_PIB,sin dato publico,sin dato publico,% PIB,Regalias pre-2012 sin serie comparable,DNP no consolida serie larga.
3,Alvaro Uribe I,2002-08-07,2006-08-07,Recaudo_tributario_total_PIB,13.47,15.8,% PIB,DIAN-Cuadro 1.3 2005 (hasta 2004) + BM Central Govt tax % PIB 2005-2006,"2002=13,47; 2003=14,04; 2004=14,79; 2005 BM tax%PIB=11,26; 2006 no comparable BM. Minhaciencia serie inicia 2000 con cifras historicas."
3,Alvaro Uribe I,2002-08-07,2006-08-07,Recaudo_renta_PIB,5.31,6.24,% PIB,DIAN-Cuadro 1.3 (1994-2004) + BM proxy 2005+,"Renta 2002=5,31; 2004=6,24; 2005 BM no desagrega."
3,Alvaro Uribe I,2002-08-07,2006-08-07,Recaudo_IVA_PIB,3.89,4.29,% PIB,DIAN-Cuadro 1.3 (1994-2004),"IVA 2002=3,89; 2004=4,29."
3,Alvaro Uribe I,2002-08-07,2006-08-07,Recaudo_GMF_PIB,0.69,0.87,% PIB,DIAN-Cuadro 1.3,"GMF 2002=0,69; 2003=0,70; 2004=0,87 (se elevo a 4xmil por Ley 863/2003 Uribe)."
3,Alvaro Uribe I,2002-08-07,2006-08-07,Recaudo_tributario_cop_billones,46.7,67.2,COP billones,Calculo: % PIB x PIB DANE base 2015,"PIB 2002=COP 346,5 bn; 2004=COP 454,3 bn. Recaudo 2002 ~ 46,7 bn; 2004 ~ 67,2 bn."
3,Alvaro Uribe I,2002-08-07,2006-08-07,Balance_primario_GNC_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie comparable,"Cifra puntual conocida: 2005 superavit primario GNC ~ 0,2% PIB (saneamiento fiscal post-crisis)."
3,Alvaro Uribe I,2002-08-07,2006-08-07,Balance_total_GNC_PIB,sin dato publico,sin dato publico,% PIB,Minhaciencia sin serie oficial,"BM netlending GNC: 2003=-5,05% (proxy)."
3,Alvaro Uribe I,2002-08-07,2006-08-07,Deuda_publica_total_PIB,47.3,sin dato publico,% PIB,CGR Cuadro 2-2 deuda SPNF + BM Central Govt 2003,"Saldo SPNF 2003 sin cifra; BM GNC debt 2003=52,54% PIB. CGR SPNF 2010=47,3% PIB. Conflicto metodologico entre fuentes."
