gobierno,presidente,inicio,fin,indicador,valor_inicio,valor_fin,unidad,fuente,nota
Samper 1994-1998,Ernesto Samper,1994,1998,Cobertura régimen contributivo,25,32,%,MinSalud,Ley 100/1993 implementación inicial
Samper 1994-1998,Ernesto Samper,1994,1998,Cobertura régimen subsidiado,5,18,%,MinSalud,SISBEN en implementación
Samper 1994-1998,Ernesto Samper,1994,1998,Cobertura total salud,30,50,%,MinSalud,Sistema nuevo post-Ley 100
Samper 1994-1998,Ernesto Samper,1994,1998,Mortalidad infantil,28,24,por mil nacidos vivos,DANE,
Samper 1994-1998,Ernesto Samper,1994,1998,Mortalidad materna,95,85,por 100k nacidos vivos,DANE/MinSalud,
Samper 1994-1998,Ernesto Samper,1994,1998,Esperanza de vida al nacer,70.5,72.0,años,DANE,
Samper 1994-1998,Ernesto Samper,1994,1998,Inversión salud % PIB,4.8,5.2,%,Banco Mundial,
Samper 1994-1998,Ernesto Samper,1994,1998,Gasto de bolsillo % gasto salud,25,22,%,OMS/MinSalud,
Pastrana 1998-2002,Andrés Pastrana,1998,2002,Cobertura régimen contributivo,32,38,%,MinSalud,
Pastrana 1998-2002,Andrés Pastrana,1998,2002,Cobertura régimen subsidiado,18,28,%,MinSalud,Expansión SISBEN
Pastrana 1998-2002,Andrés Pastrana,1998,2002,Cobertura total salud,50,66,%,MinSalud,
Pastrana 1998-2002,Andrés Pastrana,1998,2002,Mortalidad infantil,24,20,por mil nacidos vivos,DANE,
Pastrana 1998-2002,Andrés Pastrana,1998,2002,Mortalidad materna,85,75,por 100k nacidos vivos,DANE/MinSalud,
Pastrana 1998-2002,Andrés Pastrana,1998,2002,Esperanza de vida al nacer,72.0,73.5,años,DANE,
Pastrana 1998-2002,Andrés Pastrana,1998,2002,Inversión salud % PIB,5.2,5.5,%,Banco Mundial,
Pastrana 1998-2002,Andrés Pastrana,1998,2002,Gasto de bolsillo % gasto salud,22,20,%,OMS/MinSalud,
Uribe I 2002-2006,Álvaro Uribe,2002,2006,Cobertura régimen contributivo,38,42,%,MinSalud,
Uribe I 2002-2006,Álvaro Uribe,2002,2006,Cobertura régimen subsidiado,28,38,%,MinSalud,
Uribe I 2002-2006,Álvaro Uribe,2002,2006,Cobertura total salud,66,80,%,MinSalud,Meta 80% alcanzada
Uribe I 2002-2006,Álvaro Uribe,2002,2006,Mortalidad infantil,20,17,por mil nacidos vivos,DANE,
Uribe I 2002-2006,Álvaro Uribe,2002,2006,Mortalidad materna,75,65,por 100k nacidos vivos,DANE/MinSalud,
Uribe I 2002-2006,Álvaro Uribe,2002,2006,Esperanza de vida al nacer,73.5,74.5,años,DANE,
Uribe I 2002-2006,Álvaro Uribe,2002,2006,Inversión salud % PIB,5.5,6.0,%,Banco Mundial,
Uribe I 2002-2006,Álvaro Uribe,2002,2006,Gasto de bolsillo % gasto salud,20,18,%,OMS/MinSalud,
Uribe II 2006-2010,Álvaro Uribe,2006,2010,Cobertura régimen contributivo,42,45,%,MinSalud,
Uribe II 2006-2010,Álvaro Uribe,2006,2010,Cobertura régimen subsidiado,38,45,%,MinSalud,
